office_name,office_detail_url,location,Sales,Rent,Phone_Number
Emin Gayrimenkul,https://www.zingat.com//en/emin-gayrimenkul-2-37515g,"Manisa, Hürriyet",35,5,0 (532) 060 85 79
YURT GAYRİMENKUL  YATIRIM BİLİŞİM A.Ş,https://www.zingat.com//en/yurt-gayrimenkul-yatirim-bilisim-a-s-16032g,"İstanbul, Çobançeşme",28,5,0 (534) 453 65 95
ÜNLÜ EMLAK OFİSİ,https://www.zingat.com//en/unlu-emlak-ofisi-2-67251g,"Kastamonu, Cebrail",28,5,0 (541) 542 83 37
İNCESU EMLAK,https://www.zingat.com//en/incesu-emlak-38028g,"Ankara, Seyranbağları",28,5,0 (535) 862 23 37
HEP İSTANBUL EMLAK,https://www.zingat.com//en/hep-istanbul-emlak-70776g,"İstanbul, Zafer",27,7,0 (532) 520 00 05
Verim Emlak,https://www.zingat.com//en/verim-emlak-22323g,"İzmir, Mersin Alanı",32,7,0 (544) 742 22 85
Prores Gayrimenkul Danışmanlığı,https://www.zingat.com//en/prores-gayrimenkul-danismanligi-60812g,"İstanbul, Kurtköy",19,7,0 (530) 238 36 60
REMAX NET,https://www.zingat.com//en/remax-net-77998g,"Antalya, Çağlayan",27,7,0 (533) 490 12 81
SONGÜL GAYRİMENKUL®️,https://www.zingat.com//en/songul-gayrimenkul-r-18942g,"İstanbul, Yenişehir",24,7,0 (532) 631 20 41
DURSUNOĞLU İNŞAAT & GAYRİMENKUL,https://www.zingat.com//en/dursunoglu-insaat-gayrimenkul-2-20426g,"İstanbul, Yenidoğan",25,7,0 (532) 355 52 81
KALAMAR EMLAK,https://www.zingat.com//en/kalamar-emlak-47199g,"Adana, Huzurevleri",32,7,0 (552) 312 94 67
Site Emlak,https://www.zingat.com//en/site-emlak-4392g,"İstanbul, Atakent",24,7,0 (555) 250 30 55
HSM İNŞAAT,https://www.zingat.com//en/hsm-insaat-2-24302g,"Aydın, Efeler",30,7,0 (539) 665 41 13
LİZ EMLAK,https://www.zingat.com//en/liz-emlak-15879g,"İstanbul, Suadiye",30,7,0 (532) 410 57 58
ERDEM PREFABRİK,https://www.zingat.com//en/erdem-prefabrik-47919g,"İstanbul, Kaleiçi",28,7,0 (535) 102 49 49
KALİTE GRUP,https://www.zingat.com//en/kalite-grup-2-29183g,"Kocaeli, Cumhuriyet",25,7,0 (533) 344 12 01
KARACA EMLAK,https://www.zingat.com//en/karaca-emlak-14-75537g,"Tekirdağ, Barbaros",26,0,0 (532) 273 28 40
Wen Gayrimenkul A.Ş.,https://www.zingat.com//en/wen-gayrimenkul-a-s-44776g,"İstanbul, Merkez",20,0,0 (554) 782 49 46
YAPI GAYRİMENKUL DANIŞMANLIK,https://www.zingat.com//en/yapi-insaat-gayrimenkul-16815g,"İstanbul, Acarlar",16,0,0 (533) 730 21 21
Turyap Mecidiyeköy Çevre,https://www.zingat.com//en/turyap-mecidiyekoy-cevre-4262g,"İstanbul, Mecidiyeköy",23,0,0 (532) 612 57 18
FSOON GAYRİMENKUL AJANSI,https://www.zingat.com//en/fsoon-gayrimenkul-ajansi-64215g,"İstanbul, Maslak",24,0,0 (505) 488 15 18
FİN EMLAK,https://www.zingat.com//en/fin-emlak-48125g,"Diyarbakır, Mezopotamya",23,0,0 (535) 890 85 85
MERHABA EMLAK,https://www.zingat.com//en/merhaba-emlak-2-79137g,"İstanbul, Merkez",22,0,0 (532) 219 24 27
ÇELİK İNŞAAT VE EMLAK,https://www.zingat.com//en/celik-emlak-istanbul-18778g,"İstanbul, Kazım Karabekir",22,0,0 (538) 834 68 68
Partners Gayrimenkul A.Ş.,https://www.zingat.com//en/partners-gayrimenkul-a-s-19131g,"İstanbul, Asmalı Mescit",17,0,0 (532) 323 35 97
USM GAYRİMENKUL,https://www.zingat.com//en/usm-gayrimenkul-40010g,"İstanbul, Yeşilova",31,0,0 (539) 572 52 29
ÇOLAK GAYRİMENKUL & EMLAK,https://www.zingat.com//en/colak-gayrimenkul-emlak-2-41642g,"Sakarya, Elperek",0,0,0 (532) 624 98 54
YANKI GRUP GAYRİMENKUL HİZMETLERİ,https://www.zingat.com//en/yanki-grup-gayrimenkul-hizmetleri-16040g,"İstanbul, Valide-i Atik",16,0,0 (530) 177 60 60
Kaçmaz Emlak Bayrampaşa Temsilciliği,https://www.zingat.com//en/kacmaz-emlak-1-4764g,"İstanbul, Muratpaşa",17,3,0 (543) 595 08 09
OFİS BODRUM EMLAK,https://www.zingat.com//en/ofis-bodrum-emlak-27793g,"Muğla, Turgutreis",13,3,0 (532) 413 74 47
PRESTİJ PARK EMLAK,https://www.zingat.com//en/prestij-park-emlak-20067g,"İstanbul, Zafer",11,3,0 (532) 520 00 05
WEC SEÇKİN GAYRİMENKUL,https://www.zingat.com//en/wec-seckin-gayrimenkul-30355g,"Ankara, Tunahan",11,3,0 (532) 588 01 41
Home&Booking Gayrimenkul ve Danışmanlık / Home&Booking Real Estate Agency,https://www.zingat.com//en/home-booking-gayrimenkul-ve-danismanlik-home-booking-real-estate-agency-2-33825g,"Muğla, Eskiçeşme",4,3,0 (507) 253 21 00
MEGAPLUS EMLAK,https://www.zingat.com//en/megaplus-emlak-42424g,"İstanbul, Kumbaba",19,3,0 (532) 506 81 17
EPA İZMİR HATAY CADDE,https://www.zingat.com//en/epa-izmir-hatay-cadde-34553g,"İzmir, Üçkuyular",15,3,0 (532) 450 95 09
Ege Act Gayrimenkul Danışmanlığı,https://www.zingat.com//en/ege-act-gayrimenkul-danismanligi-35457g,"Aydın, Hacıfeyzullah",0,3,0 (532) 212 47 04
GO2REALTY EMLAK,https://www.zingat.com//en/go2realty-emlak-50370g,"Antalya, Altınkum",13,3,0 (532) 423 15 09
Eymen İnşaat Emlak,https://www.zingat.com//en/eymen-insaat-emlak-44390g,"Eskişehir, Emek",17,3,0 (544) 237 20 20
ASİL EMLAK BÜYÜKÇEKMECE,https://www.zingat.com//en/asil-emlak-buyukcekmece-16325g,"İstanbul, Dizdariye",15,3,0 (544) 309 97 04
KİNG SUİT KONAKLAMA,https://www.zingat.com//en/king-suit-konaklama-42236g,"İstanbul, Cumhuriyet",19,3,0 (534) 706 86 83
EUROMY ATAŞEHİR EMLAK MÜŞAVİRLİĞİ İSTANBUL YILDIRIM DURMUŞ,https://www.zingat.com//en/euromy-atasehir-emlak-musavirligi-istanbul-yildirim-durmus-22867g,"İstanbul, İçerenköy",17,1,0 (555) 579 10 81
Yuvam Bodrum,https://www.zingat.com//en/yuvam-bodrum-61121g,"Muğla, Yalıkavak",5,1,0 (536) 251 92 42
REAL EMLAK,https://www.zingat.com//en/real-emlak-4-46478g,"İstanbul, Ambarlı",15,1,0 (532) 615 92 99
Nova İnşaat Gayrimenkul,https://www.zingat.com//en/nova-insaat-gayrimenkul-49391g,"Balıkesir, Altınoluk",17,1,0 (532) 491 55 24
Paris Emlak,https://www.zingat.com//en/paris-emlak-70745g,"Eskişehir, Yenibağlar",9,1,0 (531) 702 85 15
Kaan Gayrimenkul,https://www.zingat.com//en/kaan-gayrimenkul-19313g,"Denizli, Atalar",10,1,0 (552) 760 08 67
REAL HOUSE,https://www.zingat.com//en/real-house-35707g,"İstanbul, Ataköy 7-8-9-10. Kısım",7,1,0 (553) 711 73 25
CLASS GAYRİMENKUL OTOMOTİV,https://www.zingat.com//en/class-gayrimenkul-otomotiv-63966g,"Aksaray, Taşpazar",16,1,0 (532) 169 07 68
EMLAKHİSAR GAYRİMENKUL,https://www.zingat.com//en/emlakhisar-gayrimenkul-83321g,"Manisa, Ragıp Bey",16,1,0 (532) 173 88 80
YÜKSELEN GAYRİMENKUL,https://www.zingat.com//en/yukselen-gayrimenkul-9-71251g,"Bursa, Kültür",16,1,0 (532) 796 62 10
Osm Kazanç Gayrimenkul Yatırım Danışmanlık  Ltd. Şti.,https://www.zingat.com//en/osm-kazanc-gayrimenkul-yatirim-danismanlik-ltd-sti-37473g,"Osmaniye, Esenevler",0,1,0 (546) 493 44 80
TURYAP ŞİRİNYER TEMSİLCİLİĞİ,https://www.zingat.com//en/turyap-sirinyer-temsilciligi-18767g,"İzmir, Güven",56,1,0 (546) 768 12 97
Coldwell Banker Metaş Çatalça,https://www.zingat.com//en/coldwell-banker-metas-catalca-55452g,"İstanbul, Kaleiçi",21,5,0 (532) 630 77 23
BOSFORCE EMLAK GELİŞTİRME VE PAZARLAMA,https://www.zingat.com//en/bosforce-emlak-gelistirme-ve-pazarlama-35803g,"İstanbul, Çengelköy",10,5,0 (533) 646 27 86
Remax Atlas,https://www.zingat.com//en/remax-atlas-2-80293g,"Muğla, Ortakentyahşi",11,5,0 (532) 232 64 81
TOĞRUL ULUSAL GAYRİMENKUL,https://www.zingat.com//en/togrul-ulusal-gayrimenkul-81127g,"Düzce, Cedidiye",15,5,0 (505) 714 64 52
VİVA GAYRİMENKUL,https://www.zingat.com//en/viva-gayrimenkul-11697g,"İstanbul, Cevizli",9,5,0 (533) 412 68 68
BCity Grup,https://www.zingat.com//en/bcity-grup-2-48372g,"Muğla, Akyarlar",15,5,0 (545) 505 26 04
KARACAN EMLAK,https://www.zingat.com//en/karacan-emlak-4-78686g,"Sivas, Kocapaşa",30,5,0 (537) 225 86 80
Varlıklı Emlak Yaşar Yıldız,https://www.zingat.com//en/varlikli-emlak-yasar-yildiz-2-28798g,"Muğla, Beşköprü",10,5,0 (532) 372 58 85
Asepsus Emlak,https://www.zingat.com//en/asepsus-emlak-75159g,"Balıkesir, Akçaali",14,5,0 (530) 762 81 65
ROYA DANIŞMANLIK GAYRİMENKUL,https://www.zingat.com//en/roya-danismanlik-gayrimenkul-80461g,"Kocaeli, Yavuz Sultan Selim",55,5,0 (532) 166 52 83
MY ADA GAYRİMENKUL,https://www.zingat.com//en/my-ada-gayrimenkul-39304g,"Aydın, Cumhuriyet",12,5,0 (544) 628 12 67
YUNUS KOÇ GAYRİMENKUL YATIRIM DANIŞMANLIĞI,https://www.zingat.com//en/yunus-koc-gayrimenkul-yatirim-danismanligi-80173g,"İzmir, Yeni Mahalle",11,5,0 (532) 707 83 87
Altın Emlak Bakırköy Zuhuratbaba Temsilciliği,https://www.zingat.com//en/altin-emlak-zuhuratbaba-temsilciligi-25138g,"İstanbul, Zuhuratbaba",12,1,0 (554) 300 72 28
